row_id,r,sigma_prime,sigma_second,Q_sqrt_negative_sigma_second,mu_recovered,gamma_recovered,mu_difference_from_extracted_record,gamma_difference_from_extracted_record,recovery_error,finite_status
254,1.235000000000000000000000000000000000000,0.1784949347841167330360824853671610027416,-0.06833390319020866212903949784501019369141,0.2614075423361167330360824853671610027416,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
255,1.240000000000000000000000000000000000000,0.1781537112601795881161978161326794388839,-0.06815562281814259390814032338739597404722,0.2610663188121795881161978161326794388839,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
256,1.245000000000000000000000000000000000000,0.1778133773946360979379992673372819652349,-0.06797803922639351314573036185486514126454,0.2607259849466360979379992673372819652349,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
257,1.250000000000000000000000000000000000000,0.1774739297126602354185144212035174433762,-0.06780114878868029343450847185527003390801,0.2603865372646602354185144212035174433762,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
258,1.255000000000000000000000000000000000000,0.1771353647574984027241948031159667859118,-0.06762494790228164802712152905532076011812,0.2600479723094984027241948031159667859118,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
259,1.260000000000000000000000000000000000000,0.1767976790903520913763985936127809925762,-0.06744943298785268714074143408997937812962,0.2597102866423520913763985936127809925762,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
260,1.265000000000000000000000000000000000000,0.1764608692902614554025657379733146106872,-0.06727460048924313948656926881013584519024,0.2593734768422614554025657379733146106872,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
261,1.270000000000000000000000000000000000000,0.1761249319539897892551266168692911356503,-0.06710044687331722079157895076488156804779,0.2590375395059897892551266168692911356503,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
262,1.275000000000000000000000000000000000000,0.1757898636959089023058465778629144245720,-0.06692696862977513228029903872254950448710,0.2587024712479089023058465778629144245720,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
263,1.280000000000000000000000000000000000000,0.1754556611478853818079738184745006734264,-0.06675416227097617228232935580569957153096,0.2583682686998853818079738184745006734264,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
264,1.285000000000000000000000000000000000000,0.1751223209591677363022402065392543067952,-0.06658202433176344432663553050247980875620,0.2580349285111677363022402065392543067952,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,9.681479787123295682045076583215879618926e-122,9.756823178591322958587864469266398797597e-122,FINITE
265,1.290000000000000000000000000000000000000,0.1747898397962744115254762899392612658300,-0.06641055136929014527649555123907503117565,0.2577024473482744115254762899392612658300,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
266,1.295000000000000000000000000000000000000,0.1744582143428826709623554735333370299180,-0.06623973996284741724932357142295681673479,0.2573708218948826709623554735333370299180,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
267,1.300000000000000000000000000000000000000,0.1741274412997183332615904376693594214188,-0.06606958671369374725350252452364793969091,0.2570400488517183332615904376693594214188,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
268,1.305000000000000000000000000000000000000,0.1737975173844463588177794776803152060307,-0.06590008824488589865985310918301528950895,0.2567101249364463588177794776803152060307,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
269,1.310000000000000000000000000000000000000,0.1734684393315622778990535237134779640467,-0.06573124120111135880848634856545885636307,0.2563810468835622778990535237134779640467,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
